"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"15",2017,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Never"
"16",2017,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","No","Never","Rarely"
"17",2017,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Never"
"18",2017,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","","No","Yes","Never","Most of the time"
"19",2017,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Never"
"20",2017,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Rarely"
"21",2017,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","No","Most of the time","Always"
"22",2017,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Never"
"23",2017,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","I do not use the internet"
"24",2017,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Never"
"25",2017,"M","6th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Yes","No","Yes","Never","Most of the time"
"26",2017,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Sometimes"
"27",2017,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Sometimes"
"28",2017,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Rarely","Rarely"
"29",2017,"M","6th","No","1","Today","No","No","No","No","1","Today","No","","No","Not Sure","No","Yes","Never","Rarely"
"30",2017,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Rarely"
"31",2017,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Never"
"32",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Sometimes","Sometimes"
"33",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Yes","No","Yes","Sometimes","Rarely"
"34",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Rarely"
"35",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Rarely"
"36",2017,"M","7th","No","","Today","No","Yes","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Rarely"
"37",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Never"
"38",2017,"F","Unplaced","Yes","7","5 Years Ago","Yes","Yes","Yes","Yes","7","Last 7 Days","Yes","Yes","Yes","No","No","No","I do not use the internet","I do not use the internet"
"39",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Sometimes"
"40",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Rarely"
"41",2017,"M","7th","Yes","75","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Sometimes","Sometimes"
"42",2017,"M","7th","","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Never"
"43",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Never"
"44",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","No","Never","Rarely"
"45",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Yes","No","Yes","Never","Rarely"
"46",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Rarely"
"47",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Yes","No","Yes","","Rarely"
"48",2017,"M","7th","Yes","15","Today","No","No","No","Yes","1","5 Years Ago","Yes","No","No","Yes","No","Yes","Never","Rarely"
"49",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Sometimes"
"50",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Not Sure","No","Yes","Rarely","Rarely"
"51",2017,"F","8th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Not Sure","No","Yes","Rarely","Rarely"
"52",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","No","Never","Never"
"53",2017,"F","8th","Yes","75","Today","No","No","No","Yes","1","1-4 Years Ago","Yes","No","Yes","No","No","Yes","Never","Rarely"
"54",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Rarely"
"55",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Yes","No","Yes","Rarely","Sometimes"
"56",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","I do not use the internet","I do not use the internet"
"57",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Rarely"
"58",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Never"
"59",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Never"
"60",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Rarely"
"61",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Sometimes"
"62",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Sometimes"
"63",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Sometimes"
"64",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Rarely"
"65",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Rarely","Sometimes"
"66",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Rarely","Rarely"
"67",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Rarely"
"68",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Rarely"
"69",2017,"M","8th","Yes","100","Last 7 Days","Yes","Yes","Yes","Yes","2","Last 6 Months","Yes","No","Yes","Yes","Yes","No","Rarely","Most of the time"
"70",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Most of the time","Sometimes"
"71",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Rarely","Rarely"
"72",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Sometimes"
"73",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Rarely"
"74",2017,"M","8th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Yes","No","Yes","Rarely","Always"
"75",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Sometimes"
"76",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Rarely","Sometimes"
"77",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Sometimes"
"78",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Rarely"
"79",2017,"M","8th","","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Sometimes"
"80",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Rarely"
"81",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Yes","No","Yes","Never","Never"
"82",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Most of the time"
"83",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Never"
"84",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Rarely"
"85",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Rarely"
"86",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","","","","",""
"87",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Not Sure","No","Yes","Never","Never"
"88",2017,"M","8th","Yes","75","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Rarely"
"89",2017,"M","8th","Yes","100","Today","No","No","No","Yes","1","1-4 Years Ago","No","No","No","Yes","No","Yes","Rarely","Rarely"
"90",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Rarely"
"91",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Never"
"92",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Never"
"93",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Rarely"
"94",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Rarely","Rarely"
"95",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Not Sure","No","Yes","Sometimes","Sometimes"
"96",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Most of the time","Rarely"
"97",2017,"F","8th","Yes","75","Today","No","No","Yes","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Sometimes"
"98",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","I do not use the internet","Never"
"99",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Rarely"
"100",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","Yes","Yes","Yes","Yes","No","Yes","Rarely","Rarely"
"101",2017,"F","8th","Yes","75","Today","No","Yes","Yes","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Sometimes"
"102",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Rarely","Sometimes"
"103",2017,"M","8th","Yes","75","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Rarely"
"104",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Never"
"105",2017,"F","8th","No","1","Today","No","Yes","Yes","No","1","Today","Yes","No","No","Yes","Yes","Yes","Always","Sometimes"
"106",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Not Sure","No","Yes","Sometimes","Sometimes"
"107",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","Yes","Yes","No","No","No","No","Never","Rarely"
"108",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Rarely","Rarely"
"109",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","No","Never","Never"
"110",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Not Sure","No","Yes","Never","Never"
"111",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","I do not use the internet","Never"
"112",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Never"
"113",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","Yes","Yes","No","No","Sometimes","Most of the time"
"114",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Not Sure","No","Yes","Rarely","Rarely"
"115",2017,"F","7th","Yes","75","Today","No","No","No","No","1","Today","Yes","No","No","Yes","No","Yes","Most of the time","Rarely"
"116",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Rarely"
"117",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Never"
"118",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Rarely"
"119",2017,"F","7th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Yes","No","Yes","Rarely","Never"
"120",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","Yes","No","Rarely","Most of the time"
"121",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Rarely"
"122",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Sometimes"
"123",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Never"
"124",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Never"
"125",2017,"F","7th","Yes","75","Today","No","Yes","Yes","No","1","Today","No","No","No","Yes","No","No","Sometimes","Rarely"
"126",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Sometimes"
"127",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Rarely"
"128",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Sometimes"
"129",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Most of the time","Most of the time"
"130",2017,"F","7th","No","1","Today","Yes","Yes","No","Yes","3","Last Month","Yes","Yes","Yes","Not Sure","No","No","Rarely","Rarely"
"131",2017,"F","7th","Yes","75","Today","Yes","Yes","Yes","No","1","Today","Yes","Yes","Yes","Yes","No","Yes","Sometimes","Rarely"
"132",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Most of the time","Rarely"
"133",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Sometimes"
"134",2017,"M","7th","Yes","75","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Rarely","Rarely"
"135",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Sometimes"
"136",2017,"M","7th","No","1","Today","No","No","No","Yes","1","1-4 Years Ago","No","No","No","No","No","Yes","Rarely","Sometimes"
"137",2017,"M","7th","No","1","Today","No","No","","No","1","Today","No","No","No","Not Sure","No","Yes","Rarely","Rarely"
"138",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","No","No","Yes","Never","Never"
"139",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","Yes","Yes","Yes","No","Yes","Always","Always"
"140",2017,"M","7th","Yes","75","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Sometimes"
"141",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Rarely"
"142",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Most of the time","Most of the time"
"143",2017,"F","7th","No","1","Today","No","Yes","No","No","1","Today","No","Yes","No","Yes","No","No","Sometimes","Rarely"
"144",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Rarely"
"145",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Sometimes"
"146",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Rarely"
"147",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Sometimes","Most of the time"
"148",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Sometimes","I do not use the internet"
"149",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Sometimes","Sometimes"
"150",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Sometimes","Never"
"151",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","Yes","","No","No","No","Yes","Never","Sometimes"
"152",2017,"F","8th","Yes","100","Last 7 Days","No","Yes","Yes","Yes","1","5 Years Ago","Yes","Yes","No","Yes","No","Yes","Sometimes","Sometimes"
"153",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Most of the time"
"154",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Most of the time","Never"
"155",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","","","Rarely","Rarely"
"156",2017,"M","8th","No","1","Today","No","Yes","No","No","1","Today","No","Yes","No","Yes","No","Yes","Sometimes","Sometimes"
"157",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Rarely","Rarely"
"158",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Sometimes","Sometimes"
"159",2017,"M","8th","No","1","Today","No","No","","No","1","Today","Yes","No","No","Yes","No","Yes","I do not use the internet","I do not use the internet"
"160",2017,"M","8th","Yes","15","Today","No","Yes","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Rarely"
"161",2017,"M","8th","","1","Today","Yes","No","Yes","No","1","Today","Yes","Yes","No","","Yes","No","I do not use the internet","I do not use the internet"
"162",2017,"M","8th","No","1","Today","No","No","No","Yes","1","8","No","No","No","Not Sure","No","No","","Rarely"
"163",2017,"M","8th","Yes","7","Today","Yes","No","Yes","Yes","2","Last 6 Months","Yes","Yes","Yes","Yes","No","Yes","Most of the time","Sometimes"
"164",2017,"M","8th","Yes","35","Today","No","Yes","Yes","No","1","Today","No","No","No","No","No","Yes","Most of the time","Most of the time"
"165",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Most of the time","Rarely"
"166",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Rarely","Sometimes"
"167",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","I do not use the internet","I do not use the internet"
"168",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Yes","No","Yes","Never","Rarely"
"169",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Rarely"
"170",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Sometimes"
"171",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","No","Never","Never"
"172",2017,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Never"
"173",2017,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Rarely","Rarely"
"174",2017,"M","8th","Yes","75","Last Month","Yes","Yes","Yes","No","1","Today","No","No","No","No","No","No","Sometimes","Rarely"
"175",2017,"M","8th","","75","Today","No","Yes","No","No","1","Today","No","No","No","Not Sure","No","No","I do not use the internet","Never"
"176",2017,"M","8th","No","1","Today","No","No","No","Yes","7","Last 7 Days","Yes","Yes","Yes","Yes","No","No","I do not use the internet","Rarely"
"177",2017,"M","7th","Yes","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Rarely"
"178",2017,"M","7th","No","1","Today","No","No","No","Yes","1","5 Years Ago","Yes","Yes","No","No","No","No","I do not use the internet","I do not use the internet"
"179",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Never"
"180",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","No","No","No","Never","Never"
"181",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Most of the time","Rarely"
"182",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","I do not use the internet"
"183",2017,"M","7th","No","1","Today","Yes","No","No","No","1","Today","Yes","Yes","No","Not Sure","No","Yes","I do not use the internet","I do not use the internet"
"184",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Rarely","Rarely"
"185",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Never","Never"
"186",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Sometimes","Most of the time"
"187",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Rarely"
"188",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Sometimes"
"189",2017,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Sometimes"
"190",2017,"F","7th","Yes","15","Today","Yes","Yes","Yes","No","1","Today","No","No","No","Yes","No","Yes","Most of the time","Sometimes"
"191",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Sometimes"
"192",2017,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Never","Rarely"
"193",2017,"F","8th","Yes","75","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Sometimes","Sometimes"
"194",2017,"M","8th","Yes","7","Today","No","Yes","Yes","Yes","1","5 Years Ago","No","No","No","Yes","No","Yes","Never","Rarely"
"195",2017,"M","12th","Yes","15","Last Month","Yes","Yes","Yes","Yes","5","Today","Yes","Yes","Yes","Not Sure","Yes","Yes","Rarely","Rarely"
"196",2017,"F","9th","Yes","15","Today","No","Yes","Yes","Yes","1","8","No","No","No","Yes","No","Yes","Always","Most of the time"
"197",2017,"F","9th","Yes","75","Last Month","No","Yes","Yes","Yes","1","5 Years Ago","Yes","No","No","Yes","No","No","I do not use the internet","Sometimes"
"198",2017,"F","9th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Rarely","Rarely"
"199",2017,"F","9th","No","1","Today","Yes","No","No","No","1","Today","No","No","No","Yes","No","Yes","Always","Always"
"200",2017,"F","9th","No","1","Today","Yes","No","No","Yes","1","1-4 Years Ago","Yes","No","No","Yes","No","Yes","Never","Sometimes"
"201",2017,"M","9th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","Yes","Never","Never"
"202",2017,"M","9th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Rarely","Rarely"
"203",2017,"F","9th","Yes","100","Last Year","No","Yes","Yes","Yes","1","1-4 Years Ago","Yes","No","No","Yes","Yes","Yes","Rarely","Most of the time"
"204",2017,"M","9th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Rarely","Rarely"
"205",2017,"M","9th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","No","I do not use the internet","I do not use the internet"
"206",2017,"M","9th","No","1","Today","Yes","No","No","No","1","Today","No","No","No","No","No","No","Rarely","Always"
"207",2017,"M","9th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","No","I do not use the internet","I do not use the internet"
"208",2017,"M","9th","No","1","Today","","No","No","No","1","Today","No","No","No","Yes","Yes","Yes","I do not use the internet","I do not use the internet"
"209",2017,"F","9th","Yes","15","Today","No","No","No","Yes","1","5 Years Ago","Yes","No","No","Not Sure","No","No","I do not use the internet","I do not use the internet"
"210",2017,"F","9th","Yes","75","Last 6 Months","Yes","Yes","Yes","Yes","2","Last 6 Months","No","No","Yes","Not Sure","No","Yes","Sometimes","Sometimes"
"211",2017,"M","9th","No","1","Today","Yes","No","No","Yes","1","8","Yes","No","No","Yes","No","Yes","Rarely","Rarely"
"212",2017,"M","9th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","Yes","Sometimes","Sometimes"
"213",2017,"M","9th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","No","I do not use the internet","I do not use the internet"
"214",2017,"M","9th","Yes","15","Last Month","Yes","No","No","Yes","1","Last 7 Days","Yes","No","Yes","Yes","Yes","No","Most of the time","Most of the time"
"215",2017,"M","9th","Yes","7","Last Year","Yes","Yes","Yes","Yes","2","1-4 Years Ago","Yes","No","Yes","Yes","Yes","Yes","Sometimes","Sometimes"
"216",2017,"M","9th","Yes","7","1-4 Years Ago","Yes","Yes","Yes","No","1","Today","No","No","No","No","No","Yes","Sometimes","Sometimes"
"217",2017,"M","9th","Yes","35","Last Month","Yes","Yes","Yes","No","1","Today","No","No","No","Yes","Yes","No","Always","Always"
"218",2017,"F","9th","Yes","35","Today","No","Yes","Yes","Yes","7","Last 7 Days","Yes","Yes","Yes","Yes","Yes","Yes","Never","Always"
"219",2017,"F","9th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","Yes","Rarely","Rarely"
"220",2017,"F","10th","Yes","7","5 Years Ago","No","Yes","Yes","No","1","Today","No","No","No","Yes","No","No","Always","Rarely"
"221",2017,"M","Unplaced","No","75","1-4 Years Ago","Yes","No","Yes","No","1","1-4 Years Ago","Yes","No","No","Yes","No","Yes","Sometimes","Never"
